"word","producao.30m","categoria","icon"
"abelha",0.570552147239264,"subst",0.32
"aberto",0.674846625766871,"adj",2.77272727272727
"abrir",0.791411042944785,"verb",1.44444444444444
"acabar",0.595092024539877,"verb",0.4375
"adeus",0.957055214723926,"subst",1.45
"agarrar",0.656441717791411,"verb",2.17391304347826
"agua",0.975460122699387,"subst",1
"ah",0.785276073619632,"onom+int",2.65
"ai",0.865030674846626,"onom+int",2.95
"ajudar",0.754601226993865,"verb",0.444444444444444
"alface",0.429447852760736,"subst",2.125
"almofada",0.815950920245399,"subst",0.75
"alto",0.484662576687117,"adj",0.333333333333333
"amarelo",0.687116564417178,"adj",1.26086956521739
"ambulancia",0.423312883435583,"subst",1.41666666666667
"ameixa",0.177914110429448,"subst",0.588235294117647
"amiga",0.595092024539877,"subst",-0.105263157894737
"amigo",0.625766871165644,"subst",1.04545454545455
"andar",0.803680981595092,"verb",0.166666666666667
"anel",0.368098159509202,"subst",1.2
"apagar",0.515337423312883,"verb",0.818181818181818
"apanhar",0.656441717791411,"verb",1.22222222222222
"aranha",0.47239263803681,"subst",0.75
"areia",0.625766871165644,"subst",1.63157894736842
"armario",0.312883435582822,"subst",1.26086956521739
"arroz",0.852760736196319,"subst",0.5
"arrumar",0.705521472392638,"verb",0.722222222222222
"arvore",0.693251533742331,"subst",1.72222222222222
"aspirador",0.496932515337423,"subst",1.47619047619048
"assoar",0.343558282208589,"verb",2.33333333333333
"auau",0.895705521472393,"onom+int",4
"aviao",0.852760736196319,"subst",0.904761904761905
"avo",0.840490797546012,"subst",1.40909090909091
"avoh",0.920245398773006,"subst",0.0500000000000001
"azul",0.723926380368098,"adj",0.88235294117647
"balao",0.883435582822086,"subst",2.95
"baleia",0.374233128834356,"subst",-0.44
"banana",0.957055214723926,"subst",1.27777777777778
"banco",0.656441717791411,"subst",-1.14285714285714
"banho",0.865030674846626,"subst",1.05
"barata",0.220858895705521,"subst",-0.3
"barco",0.711656441717791,"subst",0.238095238095238
"barriga",0.877300613496933,"subst",0.4375
"batata",0.877300613496933,"subst",1.45
"bebe",0.920245398773006,"subst",2.83333333333333
"beber",0.766871165644172,"verb",0.80952380952381
"bicho",0.723926380368098,"subst",1.45
"bicicleta",0.754601226993865,"subst",2.31578947368421
"bife",0.325153374233129,"subst",1.11111111111111
"boca",0.889570552147239,"subst",2
"bochechas",0.466257668711656,"subst",2.89473684210526
"boi",0.337423312883436,"subst",-0.32
"bola",0.957055214723926,"subst",1.0952380952381
"bolacha",0.94478527607362,"subst",1.35
"bolo",0.871165644171779,"subst",2.44444444444444
"bom",0.705521472392638,"adj",2.27777777777778
"bone",0.49079754601227,"subst",0.0434782608695652
"boneca",0.742331288343558,"subst",1.5
"bonito",0.717791411042945,"adj",2.3
"borboleta",0.650306748466258,"subst",-1.04761904761905
"botao",0.619631901840491,"subst",1.19047619047619
"botas",0.760736196319018,"subst",2.52941176470588
"bracos",0.791411042944785,"subst",0.8
"branco",0.515337423312883,"adj",-1.0952380952381
"brincar",0.779141104294479,"verb",1.36
"bruxa",0.386503067484663,"subst",1.59090909090909
"burro",0.58282208588957,"subst",-0.0500000000000002
"buscar",0.588957055214724,"verb",-0.105263157894737
"cabeca",0.846625766871166,"subst",0.55
"cabelo",0.852760736196319,"subst",0.444444444444444
"caca",0.631901840490798,"adj",0.636363636363636
"cachecol",0.47239263803681,"subst",0.956521739130435
"cadeira",0.815950920245399,"subst",1.75
"cafe",0.687116564417178,"subst",1.10526315789474
"cair",0.822085889570552,"verb",2.1
"caixa",0.693251533742331,"subst",1.09090909090909
"calar",0.595092024539877,"verb",-0.285714285714286
"calcar",0.748466257668712,"verb",-1.66666666666667
"calcas",0.834355828220859,"subst",0.823529411764706
"calcoes",0.533742331288344,"subst",0.15
"cama",0.871165644171779,"subst",0.136363636363636
"camelo",0.325153374233129,"subst",0.619047619047619
"caminhao",0.539877300613497,"subst",1.71428571428571
"camisa",0.441717791411043,"subst",-1
"camisola",0.687116564417178,"subst",0.25
"caneta",0.797546012269939,"subst",0.8
"canja",0.355828220858896,"subst",-0.391304347826087
"cantar",0.736196319018405,"verb",1.58333333333333
"cao",0.96319018404908,"subst",0.416666666666667
"cara",0.785276073619632,"subst",1.1875
"caracol",0.588957055214724,"subst",2.04347826086957
"carne",0.785276073619632,"subst",1.15
"carneiro",0.226993865030675,"subst",-0.11764705882353
"carro",0.92638036809816,"subst",0.0476190476190478
"casa",0.883435582822086,"subst",0.947368421052631
"casaco",0.840490797546012,"subst",0.789473684210526
"castanho",0.380368098159509,"adj",0.904761904761905
"cavalo",0.809815950920245,"subst",1.17391304347826
"cenoura",0.668711656441718,"subst",-0.35
"cereal",0.570552147239264,"subst",0.263157894736842
"cerveja",0.269938650306748,"subst",-0.842105263157895
"ceu",0.662576687116564,"subst",1.11111111111111
"cha",0.466257668711656,"subst",0.59375
"chamar",0.613496932515337,"verb",-0.142857142857143
"chamine",0.208588957055215,"subst",1.52173913043478
"chao",0.736196319018405,"subst",1.57894736842105
"chapeu",0.877300613496933,"subst",-0.65
"chave",0.754601226993865,"subst",0.0952380952380953
"cheio",0.496932515337423,"adj",1
"chinelos",0.644171779141104,"subst",-0.15
"chiu",0.779141104294479,"onom+int",3.22727272727273
"chocolate",0.834355828220859,"subst",0.590909090909091
"chorar",0.785276073619632,"verb",1.43478260869565
"chupeta",0.828220858895706,"subst",3.05
"chuva",0.852760736196319,"subst",3.55555555555556
"cinto",0.404907975460123,"subst",0.72
"circo",0.263803680981595,"subst",1.22222222222222
